"match_variant","date","map","playlist","place","game_id"
"Team Slayer BR","7/24/2007 2:19:39 PM","Desolation","Team Slayer","3rd","737257731"
"Team Slayer BR","7/24/2007 2:08:07 PM","Desolation","Team Slayer","4th","737250813"
"Team Slayer BR","7/24/2007 1:58:13 PM","Desolation","Team Slayer","3rd","737244990"
"Team Slayer BR","7/24/2007 1:44:04 PM","Burial Mounds","Team Slayer","4th","737236623"
"Slayer","7/24/2007 1:30:55 PM","Midship","Arranged Game","2nd","737228778"
"Team Snipers","7/24/2007 1:24:57 PM","Lockout","Team Snipers","3rd","737225359"
"Team Snipers","7/24/2007 1:11:22 PM","Tombstone","Team Snipers","2nd","737217356"
"Team Slayer BR","7/24/2007 1:03:25 PM","Lockout","Team Hardcore","8th","737213006"
"SWAT Classic","7/24/2007 12:54:48 PM","Ivory Tower","Team SWAT","6th","737208033"
"Team Rifles","7/23/2007 9:52:15 AM","Colossus","Team Slayer","7th","736541431"
"Team Snipers","7/23/2007 9:39:52 AM","Zanzibar","Team Snipers","5th","736537060"
"Team Ball","7/23/2007 9:24:04 AM","Warlock","Team Hardcore","8th","736532107"
"Team Slayer BR","7/22/2007 2:33:04 PM","Zanzibar","Team Slayer","8th","736141335"
"SWAT Magnums","7/22/2007 2:21:52 PM","Desolation","Team SWAT","1st","736102056"
"2v2 Rifles","7/22/2007 2:14:15 PM","Ivory Tower","Double Team","2nd","736097908"
"Team Slayer BR","7/22/2007 2:01:55 PM","Desolation","Team Slayer","8th","736091297"
"Team Snipers","7/22/2007 1:48:39 PM","Tombstone","Team Snipers","6th","736084135"
"Team Slayer BR","7/22/2007 1:35:10 PM","Ivory Tower","Team Hardcore","7th","736077185"
"Team Ball","7/22/2007 1:25:34 PM","Midship","Team Hardcore","7th","736104424"
"Team Slayer BR","7/22/2007 1:18:59 PM","Lockout","Team Hardcore","6th","736068811"
"2v2 Rifles","7/22/2007 1:09:22 PM","Ivory Tower","Double Team","2nd","736064032"
"Neutral Bomb","7/22/2007 9:04:43 AM","Beaver Creek","Team Hardcore","4th","735971261"
"Team Snipers","7/15/2007 3:54:34 PM","Tombstone","Team Snipers","3rd","732082567"
"Team Slayer","7/15/2007 3:42:20 PM","Turf","Team Slayer","4th","732110362"
"Team Slayer BR","7/15/2007 3:33:26 PM","Ascension","Team Slayer","1st","732070706"
"Team Slayer BR","7/15/2007 3:15:34 PM","Zanzibar","Team Slayer","4th","732060509"
"Team Snipers","7/15/2007 3:01:50 PM","Tombstone","Team Snipers","1st","732052668"
"Team Slayer BR","7/15/2007 2:50:35 PM","Midship","Team Hardcore","8th","732046416"
"Team Slayer BR","7/15/2007 7:42:38 AM","Zanzibar","Team Slayer","4th","731874456"
"Team Slayer","7/15/2007 7:28:40 AM","Turf","Team Slayer","4th","731872363"
"Team Snipers","7/15/2007 7:18:18 AM","Terminal","Team Snipers","8th","731870951"
"Team Ball","7/15/2007 7:04:42 AM","Lockout","Team Hardcore","7th","731869076"
"Team Slayer","7/13/2007 8:21:06 AM","Desolation","Team Slayer","7th","730788170"
"Team Slayer","7/13/2007 8:21:06 AM","Gemini","Team Slayer","4th","730772927"
