"match_variant","date","map","playlist","place","game_id"
"Slayer BRs","9/18/2011 10:17:54 AM","The Pit","Lone Wolves","3rd","1890896534"
"Oddball","9/18/2011 10:05:37 AM","Epitaph","Lone Wolves","3rd","1890894309"
"Slayer","9/18/2011 10:02:40 AM","Snowbound","Lone Wolves","3rd","1890893675"
"Team BRs","9/18/2011 9:23:56 AM","Last Resort","Social Slayer","1st","1890886648"
"Team BRs","12/6/2010 1:56:43 PM","High Ground","Team Slayer","1st","1827028520"
"Team Slayer","12/6/2010 1:43:58 PM","Guardian","Team Slayer","2nd","1827026098"
"Team BRs","12/6/2010 1:32:36 PM","Guardian","Team Slayer","2nd","1827024054"
"Team BRs","12/6/2010 1:21:10 PM","Snowbound","Team Slayer","1st","1827021957"
"Team Slayer","12/6/2010 1:16:49 PM","Isolation","Team Slayer","2nd","1827021172"
"Team Slayer","12/6/2010 12:58:06 PM","Snowbound","Team Slayer","1st","1827017989"
"Team BRs","12/6/2010 12:48:28 PM","The Pit","Team Slayer","1st","1827016440"
"Oddball","12/6/2010 12:32:15 PM","Heretic","Lone Wolves","3rd","1827013752"
"Team BRs","12/6/2010 12:23:54 PM","Citadel","Team Slayer","1st","1827012547"
"Team Slayer","12/6/2010 12:12:51 PM","Guardian","Team Slayer","1st","1827010794"
"Team BRs","12/6/2010 8:14:33 AM","High Ground","Team Slayer","1st","1826981071"
"Team BRs","12/6/2010 7:58:29 AM","Snowbound","Team Slayer","1st","1826979539"
"Team BRs","12/6/2010 7:50:09 AM","Narrows","Team Slayer","2nd","1826978626"
"Team Slayer","12/6/2010 7:37:38 AM","Ghost Town","Team Slayer","2nd","1826977507"
"Team Slayer","12/6/2010 7:24:56 AM","The Pit","Social Slayer","2nd","1826976400"
"Team Slayer","12/6/2010 4:05:42 AM","Orbital","Team Slayer","1st","1826962546"
"Team Slayer","12/6/2010 3:49:12 AM","The Pit","Team Slayer","1st","1826961444"
"Team BRs","12/6/2010 3:45:40 AM","Assembly","Team Slayer","2nd","1826964921"
"Team BRs","12/6/2010 3:20:43 AM","Last Resort","Social Slayer","1st","1826959643"
"Team BRs","12/6/2010 3:09:29 AM","Snowbound","Social Slayer","2nd","1826958925"
"Team BRs","12/6/2010 2:16:46 AM","Guardian","Social Slayer","1st","1826959402"
"Team Slayer","12/6/2010 2:59:34 AM","The Pit","Social Slayer","1st","1826958261"
"Team BRs","12/6/2010 2:50:47 AM","Guardian","Social Slayer","1st","1826957763"
"Team Slayer","12/6/2010 2:39:53 AM","Valhalla","Social Slayer","1st","1826956952"
"Team Duals","12/6/2010 2:27:24 AM","Snowbound","Social Slayer","1st","1826956143"
"Team Slayer","12/1/2010 3:20:15 AM","Rat's Nest","Social Slayer","1st","1825771487"
"Team Slayer","12/1/2010 3:05:46 AM","The Pit","Social Slayer","2nd","1825770475"
"Team BRs","11/30/2010 10:45:53 AM","Standoff","Social Slayer","2nd","1825625752"
"Team BRs","11/30/2010 10:32:09 AM","Construct","Social Slayer","1st","1825624118"
"Team Slayer","11/30/2010 9:50:58 AM","High Ground","Social Slayer","2nd","1825619627"
"Slayer","9/17/2010 11:30:39 AM","Citadel","Rumble Pit","1st","1805710586"
