"match_variant","date","map","playlist","place","game_id"
"GrifballUpThere","4/3/2010 8:43:37 AM","Sandbox","Grifball","1st","1609629912"
"Multi Flag CTF","3/21/2010 4:34:40 PM","Valhalla","Squad Battle","2nd","1596325593"
"Team Snipers","3/21/2010 4:07:28 PM","Valhalla","Team Snipers","1st","1596289115"
"Team Snipers","3/21/2010 3:55:38 PM","Construct","Team Snipers","2nd","1596273269"
"Team Snipers","3/21/2010 3:46:16 PM","Construct","Team Snipers","1st","1596260751"
"Team Slayer","3/21/2010 3:25:16 PM","Sandbox","Maption Sack","2nd","1596232503"
"Team BRs","3/21/2010 3:13:03 PM","Sandbox","Maption Sack","1st","1596215902"
"Team BRs","3/14/2010 4:20:14 PM","Construct","Social Slayer","2nd","1588688108"
"Team Slayer","3/14/2010 4:10:47 PM","Construct","Multi Team","3rd","1588674903"
"VIP","3/14/2010 3:55:03 PM","Valhalla","Multi Team","2nd","1588652947"
"Shotty Snipers","3/14/2010 3:41:33 PM","Snowbound","Team Snipers","1st","1588634067"
"Team BRs","3/14/2010 3:29:00 PM","Last Resort","Social Slayer","1st","1588616339"
"Team SWAT","3/14/2010 3:17:01 PM","Foundry","Team Swat","1st","1588599499"
"Team BRs","3/14/2010 3:08:22 PM","The Pit","Social Slayer","2nd","1588587119"
"Rocket Race","3/14/2010 2:55:30 PM","Valhalla","Rocket Race","2nd","1588568643"
"MLG FFA","3/8/2010 1:47:50 PM","Foundry","MLG FFA","7th","1581794110"
"Team Slayer","3/8/2010 1:26:17 PM","Valhalla","Social Slayer","1st","1581774659"
"Team BRs","3/8/2010 12:47:02 PM","Snowbound","Social Slayer","1st","1581742755"
"Team Slayer","3/8/2010 12:37:08 PM","Snowbound","Social Slayer","1st","1581735216"
"Team BRs","3/8/2010 12:27:41 PM","The Pit","Social Slayer","2nd","1581728267"
"Team Oddball","12/26/2009 5:32:50 PM","Citadel","Team Doubles","2nd","1494143376"
"Team Oddball","12/26/2009 5:26:32 PM","The Pit","Team Doubles","2nd","1494061951"
"Team Slayer","12/26/2009 5:18:14 PM","Guardian","Team Doubles","1st","1494051903"
"Team BRs","12/26/2009 4:59:50 PM","Assembly","Team Doubles","2nd","1494029712"
"Team SWAT","12/26/2009 4:46:45 PM","Epitaph","Team Swat","2nd","1494014006"
"Team SWAT","12/26/2009 4:32:16 PM","Cold Storage","Team Swat","2nd","1493997044"
"Team SWAT","12/26/2009 4:13:11 PM","Cold Storage","Team Swat","2nd","1493974917"
"Big Team Slayer","12/26/2009 3:59:49 PM","Valhalla","Squad Battle","2nd","1493960239"
"Team BRs","12/26/2009 3:34:52 PM","Ghost Town","Social Slayer","2nd","1493931067"
"Team Slayer","12/26/2009 3:21:27 PM","High Ground","Multi Team","2nd","1493915521"
"Rocket Race","12/26/2009 3:02:35 PM","Avalanche","Rocket Race","2nd","1493893973"
"Rocket Race","12/26/2009 2:56:01 PM","Sandtrap","Rocket Race","1st","1493886401"
"Rocket Race","12/26/2009 2:46:51 PM","Avalanche","Rocket Race","2nd","1493875810"
"Rocket Race","12/26/2009 2:41:29 PM","Avalanche","Rocket Race","2nd","1493869572"
