"game_id","player","player_rank","team","Kills","Assists","Deaths","K/D Spread","Suicides","Betrayals","Score"
1890896534,"X Im RiSkY X","11",NA,"21","13","10","+11","0","0","21"
1890896534,"xl3udlightx","11",NA,"20","6","7","+13","0","0","20"
1890896534,"no hibbert no","11",NA,"17","4","9","+8","0","0","17"
1890896534,"Dayzend2012","11",NA,"11","5","13","-2","0","0","11"
1890896534,"SgtMaj AJ","11",NA,"8","6","19","-11","0","0","8"
1890896534,"marqyezi","11",NA,"2","8","21","-19","0","0","2"
1890894309,"Ebullient Bane","9",NA,"6","1","0","+6","0","0","50"
1890894309,"EvilerDoughnut","9",NA,"0","0","3","-3","0","0","3"
1890894309,"Infantaria BR","9",NA,"0","0","1","-1","0","0","0"
1890894309,"marqyezi","9",NA,"0","0","3","-3","0","0","0"
1890894309,"no hibbert no","9",NA,"2","1","0","+2","0","0","0"
1890894309,"X Im RiSkY X","9",NA,"1","0","2","-1","0","0","0"
1890893675,"xXAvi ZiOnXx","5",NA,"25","2","8","+17","0","0","25"
1890893675,"Ebullient Bane","5",NA,"23","3","15","+8","0","0","23"
1890893675,"no hibbert no","5",NA,"18","3","6","+12","0","0","18"
1890893675,"CreativeWalnut1","5",NA,"3","3","13","-10","0","0","3"
1890893675,"x iMr Random x","5",NA,"2","3","16","-14","0","0","2"
1890893675,"Infantaria BR","5",NA,"2","1","20","-18","0","0","0"
1890886648,"Vass1li NL",NA,"Red Team","13","7","7","+6","0","0","0"
1890886648,"Vass1li NL(G)",NA,"Red Team","9","2","10","-1","0","0","0"
1890886648,"skamazin(G)",NA,"Red Team","8","2","13","-5","0","0","0"
1890886648,"no hibbert no",NA,"Red Team","9","3","3","+6","0","0","0"
1890886648,"skamazin",NA,"Red Team","11","6","8","+3","0","0","0"
1890886648,"ALEX Y DIEGO",NA,"Blue Team","13","3","9","+4","0","0","0"
1890886648,"ALEX Y DIEGO(G)",NA,"Blue Team","5","4","11","-6","0","0","0"
1890886648,"tastynuts082(G)",NA,"Blue Team","6","4","12","-6","0","0","0"
1890886648,"sollman64",NA,"Blue Team","16","5","10","+6","0","0","0"
1890886648,"tastynuts082",NA,"Blue Team","1","4","9","-8","0","0","0"
1827028520,"Kid Codyyyy","19","Blue Team","20","5","4","+16","0","0","0"
1827028520,"no hibbert no","19","Blue Team","9","7","7","+2","0","0","0"
1827028520,"CShowalter2k12","19","Blue Team","21","4","6","+15","0","0","0"
1827028520,"L3GiT HaCkZz","19","Red Team","5","6","18","-13","0","0","0"
1827028520,"NASTA KIRA","19","Red Team","4","2","15","-11","0","0","0"
1827028520,"o UDB o Presuel","19","Red Team","8","2","17","-9","0","0","0"
1827026098,"RazrRaptor209","42","Red Team","15","6","7","+8","0","0","0"
1827026098,"BIGGGGGG T","42","Red Team","9","3","18","-9","0","0","0"
1827026098,"DaNgL3Sn1pNCeLe","42","Red Team","19","5","13","+6","0","0","0"
1827026098,"Powers Base","42","Red Team","7","7","12","-5","0","0","0"
1827026098,"CShowalter2k12","42","Blue Team","14","6","17","-3","0","0","0"
1827026098,"no hibbert no","42","Blue Team","9","8","18","-9","0","0","0"
1827026098,"o Reflexxx o","42","Blue Team","0","0","5","-5","0","0","0"
1827026098,"Kid Codyyyy","42","Blue Team","25","5","13","+12","0","0","0"
1827024054,"GoLD D Amnezia","34","Blue Team","18","6","11","+7","0","0","0"
1827024054,"Saladin in HD","34","Blue Team","15","6","13","+2","0","0","0"
1827024054,"DaNgL3Sn1pNCeLe","34","Blue Team","9","7","8","+1","0","0","0"
1827024054,"budliGhtliM3","34","Blue Team","8","11","8","0","0","0","0"
1827024054,"xXx Mr Pimple","34","Red Team","6","7","14","-8","0","0","0"
1827024054,"no hibbert no","34","Red Team","9","4","9","0","0","0","0"
1827024054,"EpicDiagram39","34","Red Team","13","5","13","0","0","0","0"
1827024054,"Capt Murk66","34","Red Team","11","6","15","-4","0","0","0"
1827021957,"Whoppingscott21","36","Red Team","12","4","4","+8","0","0","0"
1827021957,"Saladin in HD","36","Red Team","21","7","12","+9","0","0","0"
1827021957,"no hibbert no","36","Red Team","7","12","7","0","0","0","0"
1827021957,"GoLD D Amnezia","36","Red Team","10","10","9","+1","0","0","0"
1827021957,"Phobia RiPz","36","Blue Team","13","2","12","+1","0","0","0"
1827021957,"TacklessHiggy09","36","Blue Team","4","3","9","-5","0","0","0"
1827021957,"biggwigg30","36","Blue Team","11","6","16","-5","0","0","0"
1827021957,"budliGhtliM3","36","Blue Team","4","11","13","-9","0","0","0"
1827021172,"MaxManAtArms","39","Red Team","1","6","6","-5","0","0","0"
1827021172,"xCTBx Maverick","39","Red Team","18","2","3","+15","0","0","0"
1827021172,"Winter Beta","39","Red Team","15","4","5","+10","0","0","0"
1827021172,"NIU Darkn355","39","Red Team","10","9","10","0","0","0","0"
1827021172,"schmidtstain22","39","Blue Team","4","1","13","-9","0","0","0"
1827021172,"Seacow","39","Blue Team","6","7","23","-17","0","0","0"
1827021172,"no hibbert no","39","Blue Team","8","1","9","-1","0","0","0"
1827021172,"LilMan523","39","Blue Team","4","1","4","0","0","0","0"
1827017989,"SaTal x booster","41","Blue Team","11","10","9","+2","0","0","0"
1827017989,"UK LEROY BR","41","Blue Team","17","4","3","+14","0","0","0"
1827017989,"no hibbert no","41","Blue Team","6","7","6","0","0","0","0"
1827017989,"SUPPED UP 5 0","41","Blue Team","16","6","7","+9","0","0","0"
1827017989,"LilMan523","41","Red Team","8","2","16","-8","0","0","0"
1827017989,"GoLD D Amnezia","41","Red Team","9","6","15","-6","0","0","0"
1827017989,"o Reflexxx o","41","Red Team","0","0","12","-12","0","0","0"
1827017989,"Saladin in HD","41","Red Team","8","3","10","-2","0","0","0"
1827016440,"Saladin in HD","43","Blue Team","16","9","13","+3","0","0","0"
1827016440,"GoLD D Amnezia","43","Blue Team","25","3","15","+10","0","0","0"
1827016440,"no hibbert no","43","Blue Team","9","6","5","+4","0","0","0"
1827016440,"legastolliosis","43","Red Team","3","0","6","-3","0","0","0"
1827016440,"F2B B u l l e t","43","Red Team","21","4","22","-1","0","0","0"
1827016440,"Ivatt Is Clutch","43","Red Team","9","11","22","-13","0","0","0"
1827013752,"Sm0keAnoobie420","7",NA,"5","0","4","+1","0","0","50"
1827013752,"G0URLEY","7",NA,"5","0","5","0","0","0","28"
1827013752,"no hibbert no","7",NA,"5","0","4","+1","0","0","5"
1827013752,"TSERX911","7",NA,"1","0","3","-2","0","0","4"
1827012547,"MvP2PrO4U","38","Red Team","21","8","16","+5","0","0","0"
1827012547,"WhoomRaiders09","38","Red Team","17","9","16","+1","0","0","0"
1827012547,"no hibbert no","38","Red Team","2","10","10","-8","0","0","0"
1827012547,"Sheikha mel","38","Red Team","10","11","7","+3","0","0","0"
1827012547,"johnnypez","38","Blue Team","8","7","17","-9","0","0","0"
1827012547,"T14P Ninja","38","Blue Team","14","8","11","+3","0","0","0"
1827012547,"iTz BlackStaRZz","38","Blue Team","17","8","12","+5","0","0","0"
1827012547,"Dakotas Doodles","38","Blue Team","10","10","10","0","0","0","0"
1827010794,"MvP2PrO4U","38","Blue Team","24","5","6","+18","0","0","0"
1827010794,"WhoomRaiders09","38","Blue Team","9","3","5","+4","0","0","0"
1827010794,"no hibbert no","38","Blue Team","7","3","4","+3","0","0","0"
1827010794,"armand74","38","Blue Team","10","6","7","+3","0","0","0"
1827010794,"Elmo Lest U Bk","38","Red Team","0","1","9","-9","0","0","0"
1827010794,"Whats a 50 x","38","Red Team","4","4","8","-4","0","0","0"
1827010794,"Wolves Coldeyes","38","Red Team","10","6","17","-7","0","0","0"
1827010794,"ThadeusGriffin8","38","Red Team","7","2","17","-10","0","0","0"
1826981071,"Mr XiRe Cookie","14","Red Team","13","3","9","+4","0","0","0"
1826981071,"no hibbert no","14","Red Team","16","2","4","+12","0","0","0"
1826981071,"bigbloomy","14","Red Team","10","1","6","+4","0","0","0"
1826981071,"MY 50 IZ LEGIT","14","Blue Team","0","0","16","-16","0","0","0"
1826981071,"i I3 U R T O N","14","Blue Team","1","1","3","-2","0","0","0"
1826981071,"FTx KuaR3sm4","14","Blue Team","18","0","20","-2","0","0","0"
1826979539,"MoX iZ CluTchY","37","Blue Team","14","11","11","+3","0","0","0"
1826979539,"blackspeed6","37","Blue Team","10","10","10","0","0","0","0"
1826979539,"no hibbert no","37","Blue Team","15","6","11","+4","0","0","0"
1826979539,"pitwrestler8617","37","Blue Team","11","8","12","-1","0","0","0"
1826979539,"xXlegitXxNL","37","Red Team","12","10","14","-2","0","0","0"
1826979539,"XxScootyxX","37","Red Team","6","14","14","-8","0","0","0"
1826979539,"nG I YouD I","37","Red Team","12","9","12","0","0","0","0"
1826979539,"S0MERVillE","37","Red Team","14","6","10","+4","0","0","0"
1826978626,"IDON7LIKEYOU","30","Red Team","12","5","7","+5","0","0","0"
1826978626,"THEYDONTLIKEIT","30","Red Team","8","7","6","+2","0","0","0"
1826978626,"vtown188","30","Red Team","19","5","8","+11","0","0","0"
