"game_id","player","player_rank","team","Kills","Assists","Deaths","K/D Spread","Suicides","Betrayals","Score"
683985904,"Sam Jev","36","Red Team","16","2","2","+14","0","0","0"
683985904,"The Truth 12","36","Red Team","9","4","11","-2","0","0","0"
683985904,"KWNY","36","Blue Team","6","0","14","-8","0","0","0"
683985904,"METAL M1LITIA","36","Blue Team","7","1","11","-4","0","0","0"
683956409,"LuckyAssKill","3","Red Team","22","9","10","+12","0","0","0"
683956409,"DrunkCheese","3","Red Team","28","8","3","+25","0","0","0"
683956409,"NuTTyButtFLAPR","3","Red Team","14","1","3","+11","0","0","0"
683956409,"ElasT1c Burr1To","3","Red Team","26","9","3","+23","0","0","0"
683956409,"xI C0NFL1CT Ix","3","Blue Team","5","2","20","-15","0","0","0"
683956409,"xI TOX1C Ix","3","Blue Team","2","2","20","-18","0","0","0"
683956409,"Sam Jev","3","Blue Team","7","2","15","-8","0","0","0"
683956409,"The Truth 12","3","Blue Team","4","4","35","-31","0","0","0"
683914775,"xI TOX1C Ix","2","Red Team","1","2","5","-4","0","0","0"
683914775,"Sam Jev","2","Red Team","2","0","3","-1","0","0","0"
683914775,"The Truth 12","2","Red Team","0","1","3","-3","0","0","0"
683914775,"xI C0NFL1CT Ix","2","Red Team","2","1","3","-1","0","0","0"
683914775,"iTz ChEaTeR","2","Blue Team","5","1","1","+4","0","0","0"
683914775,"shoot sniper","2","Blue Team","1","1","1","0","0","0","0"
683914775,"KwontaeK","2","Blue Team","3","0","3","0","0","0","0"
683914775,"snipouz50","2","Blue Team","1","0","2","-1","0","0","0"
683899590,"iTz ChEaTeR","4","Red Team","15","8","16","-1","0","0","0"
683899590,"shoot sniper","4","Red Team","16","7","15","+1","0","0","0"
683899590,"KwontaeK","4","Red Team","10","1","8","+2","0","0","0"
683899590,"snipouz50","4","Red Team","20","10","12","+8","0","0","0"
683899590,"xI C0NFL1CT Ix","4","Blue Team","8","10","18","-10","0","0","0"
683899590,"xI TOX1C Ix","4","Blue Team","10","7","21","-11","0","0","0"
683899590,"Sam Jev","4","Blue Team","20","4","7","+13","0","0","0"
683899590,"The Truth 12","4","Blue Team","13","7","15","-2","0","0","0"
683877186,"iTz ChEaTeR","4","Blue Team","21","8","8","+13","0","0","0"
683877186,"shoot sniper","4","Blue Team","16","7","8","+8","0","0","0"
683877186,"KwontaeK","4","Blue Team","8","1","8","0","0","0","0"
683877186,"snipouz50","4","Blue Team","12","6","8","+4","0","0","0"
683877186,"xI C0NFL1CT Ix","4","Red Team","6","7","15","-9","0","0","0"
683877186,"xI TOX1C Ix","4","Red Team","7","6","19","-12","0","0","0"
683877186,"Sam Jev","4","Red Team","9","7","10","-1","0","0","0"
683877186,"The Truth 12","4","Red Team","8","5","13","-5","0","0","0"
683841071,"xXJFR0STYXx(G)",NA,"Red Team","16","1","19","-3","0","0","0"
683841071,"Sam Jev",NA,"Red Team","36","0","23","+13","0","0","0"
683841071,"The Truth 12",NA,"Red Team","45","0","28","+17","0","0","0"
683841071,"xXJFR0STYXx",NA,"Red Team","22","1","26","-4","0","0","0"
683841071,"Usherxx1986xx(G)",NA,"Blue Team","19","1","35","-16","0","0","0"
683841071,"McGeze",NA,"Blue Team","19","0","35","-16","0","0","0"
683841071,"Usherxx1986xx",NA,"Blue Team","25","0","39","-14","0","0","0"
683841071,"Usherxx1986xx(G)",NA,"Blue Team","25","0","28","-3","0","0","0"
683770675,"Sam Jev","35","Red Team","13","5","4","+9","0","0","0"
683770675,"The Truth 12","35","Red Team","12","3","5","+7","0","0","0"
683770675,"D W3EZY","35","Blue Team","1","2","12","-11","0","0","0"
683770675,"D S Bruc3","35","Blue Team","8","0","13","-5","0","0","0"
683749072,"Sam Jev","35","Blue Team","14","4","3","+11","0","0","0"
683749072,"The Truth 12","35","Blue Team","11","3","3","+8","0","0","0"
683749072,"x XiTWouNd x","35","Red Team","3","0","11","-8","0","0","0"
683749072,"LAUREN EVANS","35","Red Team","3","3","14","-11","0","0","0"
683724696,"ElectedPolis","17","Blue Team","9","2","10","-1","0","0","0"
683724696,"miltos3","17","Blue Team","4","5","9","-5","0","0","0"
683724696,"The Truth 12","17","Red Team","9","3","9","0","0","0","0"
683724696,"Sam Jev","17","Red Team","10","2","4","+6","0","0","0"
