"game_id","player","player_rank","team","Kills","Assists","Deaths","K/D Spread","Suicides","Betrayals","Score"
1609629912,"rampagerow",NA,"Blue Team","18","0","8","+10","0","0","0"
1609629912,"Dope Mr Scope",NA,"Blue Team","34","0","7","+27","0","0","0"
1609629912,"The Truth 12",NA,"Blue Team","2","0","5","-3","0","0","0"
1609629912,"Manofest28",NA,"Blue Team","5","1","14","-9","0","0","0"
1609629912,"ziPuRe v",NA,"Red Team","0","0","4","-4","0","0","0"
1609629912,"TTGxLEWY2311",NA,"Red Team","6","0","18","-12","0","0","0"
1609629912,"AnGRYoDiNoSAuR",NA,"Red Team","11","0","19","-8","0","0","0"
1609629912,"Cheese MasterXD",NA,"Red Team","5","0","20","-15","0","0","0"
1596325593,"Suezotiger","9","Blue Team","4","5","8","-4","0","0","0"
1596325593,"Smartpantz77","9","Blue Team","10","6","12","-2","0","0","0"
1596325593,"dudeling3","9","Blue Team","8","5","13","-5","0","0","0"
1596325593,"Talent FtW","9","Blue Team","24","2","0","+24","0","0","0"
1596325593,"pimpin days","9","Blue Team","4","6","10","-6","0","0","0"
1596325593,"JediMstr Stitch","9","Red Team","15","3","15","0","0","0","0"
1596325593,"brummiepezza666","9","Red Team","4","2","8","-4","0","0","0"
1596325593,"DazzledDelirium","9","Red Team","8","3","10","-2","0","0","0"
1596325593,"The Truth 12","9","Red Team","7","3","12","-5","0","0","0"
1596325593,"no hibbert no","9","Red Team","9","7","6","+3","0","0","0"
1596289115,"SuPrEmE SnH","18","Red Team","14","3","5","+9","0","0","0"
1596289115,"The Truth 12","18","Red Team","5","4","9","-4","0","0","0"
1596289115,"zZP1SS M1STZz","18","Red Team","11","4","10","+1","0","0","0"
1596289115,"no hibbert no","18","Red Team","9","2","1","+8","0","0","0"
1596289115,"xXJckilla49Xx","18","Blue Team","11","1","11","0","0","0","0"
1596289115,"vI illmaTiic Iv","18","Blue Team","4","4","8","-4","0","0","0"
1596289115,"vX Fatal Xv","18","Blue Team","2","3","6","-4","0","0","0"
1596289115,"h410m45t3r187","18","Blue Team","8","3","14","-6","0","0","0"
1596273269,"MYBRIZ0NCRACK","12","Red Team","17","5","10","+7","0","0","0"
1596273269,"eXtReMe pRo","12","Red Team","10","4","11","-1","0","0","0"
1596273269,"ACCULA","12","Red Team","7","10","5","+2","0","0","0"
1596273269,"st34lsn1p3r","12","Red Team","16","4","14","+2","0","0","0"
1596273269,"COLT45 MASSACRE","12","Blue Team","5","4","19","-14","0","0","0"
1596273269,"no hibbert no","12","Blue Team","8","2","9","-1","0","0","0"
1596273269,"WolfWarrior90","12","Blue Team","17","4","15","+2","0","0","0"
1596273269,"The Truth 12","12","Blue Team","8","2","10","-2","0","0","0"
1596260751,"no hibbert no","21","Red Team","7","4","5","+2","0","0","0"
1596260751,"iMorphbot","21","Red Team","23","5","8","+15","0","0","0"
1596260751,"The Truth 12","21","Red Team","8","7","6","+2","0","0","0"
1596260751,"BeS iCrAzY","21","Red Team","12","5","6","+6","0","0","0"
1596260751,"cloudskyng","21","Blue Team","2","2","15","-13","0","0","0"
1596260751,"MaXi runZ Str8","21","Blue Team","3","2","11","-8","0","0","0"
1596260751,"x ID i V i N IE","21","Blue Team","9","5","11","-2","0","0","0"
1596260751,"Mike777Hardy","21","Blue Team","11","4","13","-2","0","0","0"
1596232503,"x T0LLY",NA,"Red Team","16","5","14","+2","0","0","0"
1596232503,"I Use Crayons",NA,"Red Team","10","5","10","0","0","0","0"
1596232503,"Stormrider90",NA,"Red Team","15","3","0","+15","0","0","0"
1596232503,"a Ginjaa Ninja",NA,"Red Team","9","7","8","+1","0","0","0"
